,Tri-gram,Frequency
0,tensor train tt,14
1,low rank tensor,10
2,low rank approximation,8
3,partial differential equation,5
4,rank tensor approximation,4
5,tensor train decomposition,4
6,coupled excitons phonons,4
7,alternating linear scheme,4
8,train tt decomposition,4
9,polynomial chaos expansion,4
10,tt rank minimization,4
11,vlasov poisson equation,4
12,tensor train representation,3
13,low rank matrix,3
14,apply tensor train,3
15,rank tensor train,3
16,train tt approximation,3
17,tensor product polynomial,3
18,navier stokes equation,3
19,high dimensional partial,3
20,dimensional partial differential,3
21,high order tensor,3
22,higher order tensor,3
23,dimensional phase space,3
24,system advection equation,3
25,dimensional array tensor,2
26,recently tensor train,2
27,maximum volume principle,2
28,low tensor rank,2
29,approximation tensor high,2
30,construct low rank,2
31,train tt tensor,2
32,billion inducing input,2
33,tensor high dimensional,2
34,quantic tensor approximation,2
35,grid quantic rank,2
36,approximation low rank,2
37,fourier transform algorithm,2
38,fast fourier transform,2
39,fourier transform fft,2
40,hierarchical equation motion,2
41,time independent schrodinger,2
42,independent schrodinger equation,2
43,tensor train apply,2
44,train apply tensor,2
45,frenkel holstein type,2
46,holstein type hamiltonians,2
47,tensor train rank,2
48,poisson boltzmann equation,2
49,discretized dirac delta,2
50,dirac delta distribution,2
51,linear algebra operation,2
52,suffer curse dimensionality,2
53,maximum volume submatrices,2
54,high dimensional data,2
55,representation data tensor,2
56,low rank representation,2
57,asymptotically smooth function,2
58,hybrid symbolic numeric,2
59,tensor product series,2
60,chemical master equation,2
61,qtt qtt tucker,2
62,tensor train data,2
63,chaos expansion pce,2
64,expansion pce random,2
65,pce random field,2
66,random field solve,2
67,field solve stochastic,2
68,solve stochastic elliptic,2
69,stochastic elliptic diffusion,2
70,elliptic diffusion pde,2
71,diffusion pde stochastic,2
72,pde stochastic galerkin,2
73,stochastic galerkin discretization,2
74,high accuracy high,2
75,accuracy high polynomial,2
76,tensor numerical method,2
77,method high dimensional,2
78,differential equation pdes,2
79,tensor approximation capable,2
80,rank structured tensor,2
81,product polynomial chaos,2
82,hybrid alternating least,2
83,alternating least square,2
84,least square tt,2
85,square tt cross,2
86,exploit preserve block,2
87,tt approximation covariance,2
88,approximation covariance matrix,2
89,nonlinear space time,2
90,unsteady navier stokes,2
91,discretized stochastic galerkin,2
92,tt representation block,2
93,tensor approximation error,2
94,optimal control constrained,2
95,dimensional time dependent,2
96,solving high dimensional,2
97,hamilton jacobi bellman,2
98,jacobi bellman equation,2
99,risk averse optimization,2
