,Bi-gram,Frequency
0,tensor train,42
1,low rank,42
2,high dimensional,23
3,tensor approximation,16
4,train tt,14
5,rank tensor,11
6,differential equation,11
7,order tensor,10
8,tt rank,10
9,rank approximation,9
10,tensor product,9
11,rank matrix,8
12,numerical experiment,8
13,linear system,8
14,fourier transform,7
15,curse dimensionality,7
16,tensor decomposition,7
17,random field,7
18,tt cross,7
19,tt representation,7
20,hierarchical tucker,7
21,cross approximation,6
22,numerical example,6
23,state art,6
24,high order,6
25,quantic tensor,6
26,tt decomposition,6
27,tt approximation,6
28,polynomial chaos,6
29,time dependent,6
30,maximum volume,5
31,tensor numerical,5
32,approximation error,5
33,space time,5
34,stochastic galerkin,5
35,partial differential,5
36,poisson equation,5
37,rank minimization,5
38,advection equation,5
39,array tensor,4
40,matrix tensor,4
41,one dimensional,4
42,tensor high,4
43,high dimension,4
44,cross tensor,4
45,riemannian optimization,4
46,train decomposition,4
47,schrodinger equation,4
48,coupled excitons,4
49,excitons phonons,4
50,alternating linear,4
51,linear scheme,4
52,electrostatic potential,4
53,tensor representation,4
54,column row,4
55,post processing,4
56,chaos expansion,4
57,degree freedom,4
58,parametric pdes,4
59,monte carlo,4
60,navier stokes,4
61,krylov subspace,4
62,singular decomposition,4
63,semi lagrangian,4
64,phase space,4
65,vlasov poisson,4
66,multi dimensional,3
67,dimensional array,3
68,train representation,3
69,tensor rank,3
70,fiber cross,3
71,approximation tensor,3
72,large scale,3
73,recommender system,3
74,inducing input,3
75,neural network,3
76,tensor structured,3
77,polynomial degree,3
78,higher dimension,3
79,apply tensor,3
80,boundary condition,3
81,boltzmann equation,3
82,long range,3
83,linear algebra,3
84,algebra operation,3
85,dimensional data,3
86,level set,3
87,mean variance,3
88,data tensor,3
89,high accuracy,3
90,accuracy high,3
91,master equation,3
92,equation tensor,3
93,sparse polynomial,3
94,covariance matrix,3
95,numerical method,3
96,rank structured,3
97,structured tensor,3
98,grid tensor,3
99,product polynomial,3
100,random variable,3
101,diffusion equation,3
102,grid method,3
103,stokes equation,3
104,discretized stochastic,3
105,error bound,3
106,equation time,3
107,dimensional partial,3
108,risk averse,3
109,tensor completion,3
110,visual data,3
111,higher order,3
112,hierarchical tensor,3
113,multilinear rank,3
114,dimensional tensor,3
115,dimensional phase,3
116,kinetic equation,3
117,system advection,3
118,recently tensor,2
119,approximate tensor,2
120,quantum chemistry,2
121,volume principle,2
122,require special,2
123,integral operator,2
124,size polynomial,2
125,available online,2
126,mosaic skeleton,2
127,block large,2
128,integral formulation,2
129,region kernel,2
130,black box,2
131,low tensor,2
132,construct low,2
133,data sparse,2
134,pseudoskeleton approximation,2
135,exponential machine,2
136,machine learning,2
137,tt tensor,2
138,parameter train,2
139,gaussian process,2
140,billion inducing,2
141,decomposition propose,2
142,propose tt,2
143,gp model,2
144,logn quantic,2
145,index set,2
146,discretized differential,2
147,grid quantic,2
148,quantic rank,2
149,approximation low,2
150,asymptotic complexity,2
151,function related,2
152,tensor matrix,2
153,finite element,2
154,boundary element,2
155,transform algorithm,2
156,dimensional fourier,2
157,fast fourier,2
158,transform fft,2
159,example problem,2
160,grid size,2
161,hierarchical equation,2
162,equation motion,2
163,density matrix,2
164,solving time,2
165,time independent,2
166,independent schrodinger,2
167,train apply,2
168,frenkel holstein,2
169,holstein type,2
170,type hamiltonians,2
171,computational cost,2
172,decomposition construct,2
173,system tensor,2
174,train rank,2
175,chain length,2
176,storage consumption,2
177,make possible,2
178,range parameter,2
179,poisson boltzmann,2
180,source term,2
181,discretized dirac,2
182,dirac delta,2
183,delta distribution,2
184,automatic differentiation,2
185,scientific computing,2
186,multidimensional array,2
187,rank form,2
188,riemannian manifold,2
189,efficient implementation,2
190,riemannian gradient,2
191,partition function,2
192,interpolation formula,2
193,suffer curse,2
194,dimensional integral,2
195,decomposition form,2
196,form tensor,2
197,volume submatrices,2
198,high degree,2
199,representation data,2
